RUN	perf.TestSimulation	testsimulation	1707067935604	 	3.0.3
REQUEST	9	open	/cgi-bin/nav.pll	1707068065408	1707068065494	OK	 
REQUEST	8	signoff	/cgi-bin/welcome.pl	1707068065444	1707068065537	OK	 
REQUEST	8	signoff	/cgi-bin/nav.pl	1707068065539	1707068065638	OK	 
GROUP	7	Itinerary	1707068046408	1707068065971	18553	OK
REQUEST	7	signoff	/cgi-bin/welcome.pl	1707068065972	1707068066136	OK	 
REQUEST	7	signoff	/cgi-bin/nav.pl	1707068066137	1707068066237	OK	 
GROUP	9	open	1707068065289	1707068066517	202	OK
GROUP	8	signoff	1707068065443	1707068066628	192	OK
USER	mainScenario	8	END	1707068057297	1707068066628
REQUEST	9	login	/cgi-bin/login.pl	1707068066518	1707068066636	OK	 
REQUEST	9	login	/cgi-bin/login.pl	1707068066638	1707068066754	OK	 
REQUEST	9	login	/cgi-bin/nav.pll	1707068066755	1707068066958	OK	 
GROUP	7	signoff	1707068065971	1707068067218	264	OK
USER	mainScenario	7	END	1707068039290	1707068067218
GROUP	9	login	1707068066517	1707068067948	437	OK
REQUEST	9	openflights	/cgi-bin/welcome.pl	1707068067949	1707068068493	OK	 
REQUEST	9	openflights	/cgi-bin/reservations.pl	1707068068495	1707068069234	OK	 
REQUEST	9	openflights	/cgi-bin/nav.pl	1707068069236	1707068069414	OK	 
GROUP	9	openflights	1707068067948	1707068070413	1461	OK
REQUEST	9	ticketattributes	/cgi-bin/reservations.pl	1707068070414	1707068072812	OK	 
REQUEST	9	ticketattributes	/cgi-bin/reservations.pl	1707068072815	1707068072917	OK	 
REQUEST	9	ticketattributes	/cgi-bin/reservations.pl	1707068072919	1707068073101	OK	 
GROUP	9	ticketattributes	1707068070413	1707068074098	2682	OK
USER	mainScenario	10	START	1707068074297	1707068074297
REQUEST	9	Itinerary	/cgi-bin/welcome.pl	1707068074099	1707068074304	OK	 
REQUEST	10	open	/webtours/	1707068074298	1707068074429	OK	 
REQUEST	9	Itinerary	/cgi-bin/nav.pl	1707068074306	1707068074429	OK	 
REQUEST	10	open	/cgi-bin/welcome.pl	1707068074431	1707068074630	OK	 
REQUEST	10	open	/cgi-bin/nav.pll	1707068074632	1707068074757	OK	 
GROUP	10	open	1707068074297	1707068075768	455	OK
REQUEST	10	login	/cgi-bin/login.pl	1707068075769	1707068075972	OK	 
REQUEST	10	login	/cgi-bin/login.pl	1707068075973	1707068076068	OK	 
REQUEST	10	login	/cgi-bin/nav.pll	1707068076070	1707068076172	OK	 
GROUP	10	login	1707068075768	1707068077187	400	OK
REQUEST	10	openflights	/cgi-bin/welcome.pl	1707068077187	1707068077420	OK	 
REQUEST	10	openflights	/cgi-bin/reservations.pl	1707068077422	1707068077717	OK	 
REQUEST	10	openflights	/cgi-bin/nav.pl	1707068077719	1707068077854	OK	 
GROUP	10	openflights	1707068077187	1707068078829	663	OK
REQUEST	10	ticketattributes	/cgi-bin/reservations.pl	1707068078830	1707068078924	OK	 
REQUEST	10	ticketattributes	/cgi-bin/reservations.pl	1707068078927	1707068079036	OK	 
REQUEST	10	ticketattributes	/cgi-bin/reservations.pl	1707068079038	1707068079235	OK	 
GROUP	10	ticketattributes	1707068078830	1707068080228	400	OK
REQUEST	10	Itinerary	/cgi-bin/welcome.pl	1707068080229	1707068080294	OK	 
REQUEST	9	Itinerary	/cgi-bin/itinerary.pl	1707068074432	1707068080586	OK	 
REQUEST	10	Itinerary	/cgi-bin/nav.pl	1707068080296	1707068080687	OK	 
REQUEST	10	Itinerary	/cgi-bin/itinerary.pl	1707068080689	1707068080780	OK	 
GROUP	9	Itinerary	1707068074098	1707068081584	6482	OK
REQUEST	9	signoff	/cgi-bin/welcome.pl	1707068081585	1707068081651	OK	 
REQUEST	9	signoff	/cgi-bin/nav.pl	1707068081653	1707068081741	OK	 
GROUP	10	Itinerary	1707068080228	1707068081801	547	OK
REQUEST	10	signoff	/cgi-bin/welcome.pl	1707068081802	1707068081887	OK	 
REQUEST	10	signoff	/cgi-bin/nav.pl	1707068081889	1707068082207	OK	 
USER	mainScenario	11	START	1707068082288	1707068082288
REQUEST	11	open	/webtours/	1707068082289	1707068082724	OK	 
GROUP	9	signoff	1707068081584	1707068082738	154	OK
USER	mainScenario	9	END	1707068065288	1707068082738
REQUEST	11	open	/cgi-bin/welcome.pl	1707068082726	1707068082845	OK	 
REQUEST	11	open	/cgi-bin/nav.pll	1707068082847	1707068083134	OK	 
GROUP	10	signoff	1707068081801	1707068083189	403	OK
USER	mainScenario	10	END	1707068074297	1707068083189
GROUP	11	open	1707068082289	1707068084157	841	OK
REQUEST	11	login	/cgi-bin/login.pl	1707068084158	1707068084296	OK	 
REQUEST	11	login	/cgi-bin/login.pl	1707068084298	1707068084472	OK	 
REQUEST	11	login	/cgi-bin/nav.pll	1707068084474	1707068084671	OK	 
GROUP	11	login	1707068084157	1707068085670	509	OK
REQUEST	11	openflights	/cgi-bin/welcome.pl	1707068085671	1707068085798	OK	 
REQUEST	11	openflights	/cgi-bin/reservations.pl	1707068085799	1707068086007	OK	 
